Route_ID;Route_Name;SERVICE_NA;UN;OP_NOC;DIST;PO_MOD;SENTIDO;COD_USUARI;COD_TS;COD_SINSER;COD_SINRUT;COD_USUSEN;TIPO_SERV;FREC_PM;FREC_PT;PLAZAS_PM;PLAZAS_PT;SEL_PM;SEL_PT;SEN1;VALIDA
8097;H04I;(M) CARLOS VALDOVINOS - LA VICTORIA;3;;8.008974301;Sin Modificacion;I;H04;334;T334;T334 00I;H04I;1;5;4;384;285;1;1;0;1
8098;H04I_fmavi;VARIANTE FERIA;3;;8.260134706;Sin Modificacion;I;H04;334;T334;T334 06I;H04I;5;0;0;0;0;0;0;0;1
8122;401cI;(M) ESCUELA MILITAR - LAS CONDES;4;;9.8908093;Sin Modificacion;I;401c;401c;T401 C1;T401 C1 00I;401cI;1;1;0;132;0;1;1;0;1
8297;329R;MALL PLAZA OESTE - MALL FLORIDA CENTER;3;;19.01215294;Sin Modificacion;R;329;329;T329;T329 00R;329R;1;5;4;245;207;1;1;0;1
8298;329RPRN;VARIANTE PRE NOCTURNO;3;;18.59923751;Sin Modificacion;R;329;329;T329;T329 03R;329R;2;0;0;0;0;0;0;0;1
8299;329R_cvd;VARIANTE CICLOVIA;3;;18.99877929;Sin Modificacion;R;329;329;T329;T329 10R;329R;6;0;0;0;0;0;0;0;1
8300;329R_fmisa;VARIANTE FERIA;3;;19.04410507;Sin Modificacion;R;329;329;T329;T329 08R;329R;5;0;0;0;0;0;0;0;1
8301;329RPRN_fmisa;VARIANTE FERIA;3;;18.63118963;Sin Modificacion;R;329;329;T329;T329 07R;329R;5;0;0;0;0;0;0;0;1
8320;E18I;HOSPITAL PADRE HURTADO - (M) BELLAVISTA DE LA FLORIDA;3;;10.69337449;Sin Modificacion;I;E18;349;T349;T349 00I;E18I;1;5;4;522;441;1;1;0;1
8321;E18IPRN;VARIANTE PRENOCTURNA;3;;10.69337449;Sin Modificacion;I;E18;349;T349;T349 03I;E18I;2;0;0;0;0;0;0;0;1
8322;E13I;GABRIELA - (M) BELLAVISTA DE LA FLORIDA;3;;8.590277265;Sin Modificacion;I;E13;363;T363;T363 00I;E13I;1;6;0;588;0;1;0;0;1
8323;E13IPT;VARIANTE PUNTA TARDE;3;;8.589333002;Sin Modificacion;I;E13;363;T363;T363 02I;E13I;2;0;5;0;490;0;1;0;1
8324;E13IPRN;VARIANTE PRENOCTURNA;3;;8.590277265;Sin Modificacion;I;E13;363;T363;T363 03I;E13I;2;0;0;0;0;0;0;0;1
8325;E14IPMPT;VARIANTE PUNTA MAÑANA PUNTA TARDE;3;;6.883789875;Sin Modificacion;I;E14;364;T364;T364 02I;E14I;2;5;0;522;0;0;0;0;1
8326;E14I;SAN JOSE DE LA ESTRELLA - (M) BELLAVISTA DE LA FLORIDA;3;;8.166693123;Sin Modificacion;I;E14;364;T364;T364 00I;E14I;1;0;0;0;0;0;0;0;1
8327;E14IPM2;VARIANTE PUNTA MAÑANA;3;;8.205815544;Sin Modificacion;I;E14;364;T364;T364 01I;E14I;2;5;0;522;0;1;0;0;1
8328;E14IPRN;VARIANTE PRENOCTURNA;3;;8.166693123;Sin Modificacion;I;E14;364;T364;T364 03I;E14I;2;0;0;0;0;0;0;0;1
8329;323R;LA LOMA - (M) BELLAVISTA LA FLORIDA;3;;9.862034956;Sin Modificacion;R;323;323;T323;T323 00R;323R;1;5;5;282;265;1;1;0;1
8330;323RPRN;VARIANTE PRENOCTURNA;3;;9.744797664;Sin Modificacion;R;323;323;T323;T323 03R;323R;2;0;0;0;0;0;0;0;1
8331;323R_cvd;VARIANTE CICLOVIA;3;;9.867337952;Sin Modificacion;R;323;323;T323;T323 08R;323R;6;0;0;0;0;0;0;0;1
8332;E07R;ROJAS MAGALLANES - (M) BELLAVISTA LA FLORIDA;3;;6.437996728;Sin Modificacion;R;E07;357;T357;T357 00R;E07R;1;5;5;522;490;1;1;0;1
8333;E07RPRN;VARIANTE PRENOCTURNA;3;;6.437996728;Sin Modificacion;R;E07;357;T357;T357 03R;E07R;2;0;0;0;0;0;0;0;1
8334;E15cI;GABRIELA - (M) BELLAVISTA DE LA FLORIDA;3;;9.358151388;Sin Modificacion;I;E15c;365c;T365c;T365 C0 00I;E15cI;1;6;4;588;441;1;1;0;1
8335;E15cI_fmisa;VARIANTE FERIA;3;;9.367220289;Sin Modificacion;I;E15c;365c;T365c;T365 C0 06I;E15cI;5;0;0;0;0;0;0;0;1
8336;E08I;DIEGO PORTALES - (M) BELLAVISTA DE LA FLORIDA;3;;8.598693226;Sin Modificacion;I;E08;358;T358;T358 00I;E08I;1;5;0;522;0;1;0;0;1
8337;E08IPRN;VARIANTE PRENOCTURNA;3;;8.598693226;Sin Modificacion;I;E08;358;T358;T358 03I;E08I;2;0;0;0;0;0;0;0;1
8338;E08IPT;VARIANTE PUNTA TARDE;3;;9.096905373;Sin Modificacion;I;E08;358;T358;T358 02I;E08I;2;0;4;0;441;0;1;0;1
8344;F25I;BAJOS DE MENA - (M) BELLAVISTA DE LA FLORIDA;7;;19.45376342;Sin Modificacion;I;F25;F25;F25;F25 00I;F25I;1;5;5;480;450;1;1;0;1
8345;F25I_fmavi;VARIANTE FERIA;7;;18.11178136;Sin Modificacion;I;F25;F25;F25;F25 06I;F25I;5;0;0;0;0;0;0;0;1
8347;F25IPRN;VARIANTE PRENOCTURNA;7;;20.21556557;Sin Modificacion;I;F25;F25;F25;F25 04I;F25I;2;0;0;0;0;0;0;0;1
8350;F25eIPT;VARIANTE PUNTA TARDE;7;;15.5992033;Sin Modificacion;I;F25e;F25e;F25e;F25 E0 02I;F25eI;2;0;2;0;225;0;1;0;1
8351;F25eI_fmavi;VARIANTE FERIA;7;;17.197107;Sin Modificacion;I;F25e;F25e;F25e;F25 E0 06I;F25eI;5;0;0;0;0;0;0;0;1
8352;F25eI;BAJOS DE MENA - (M) BELLAVISTA DE LA FLORIDA;7;;18.64866738;Sin Modificacion;I;F25e;F25e;F25e;F25 E0 01I;F25eI;1;5;0;480;0;1;0;0;1
8353;E05IPM;VARIANTE PUNTA MAÑANA;3;;10.96152287;Sin Modificacion;I;E05;355;T355;T355 01I;E05I;2;5;0;522;0;1;0;0;1
8354;E05IPM_fmisa;VARIANTE FERIA;3;;11.44403088;Sin Modificacion;I;E05;355;T355;T355 07I;E05I;5;0;0;0;0;0;0;0;1
8407;E17I;(M) BELLAVISTA DE LA FLORIDA - LAS PERDICES;3;;8.957072103;Sin Modificacion;I;E17;367;T367;T367 00I;E17I;1;4;5;457;490;1;1;0;1
